horas_semana,velocidad_alta,plazos_ajustados,demanda_emocional,presentismo,apoyo_jefe,apoyo_companeros,reconocimiento,conciliacion,bienestar_who5,tamanio_empresa,sector,nivel_educativo,teletrabajo
40.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,4.0,52.0,5.0,7,8.0,6.0
39.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,80.0,4.0,7,4.0,1.0
40.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,56.0,7.0,7,5.0,1.0
40.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,2.0,12.0,5.0,7,6.0,2.0
40.0,2.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,68.0,5.0,7,4.0,1.0
45.0,3.0,1.0,3.0,2.0,5.0,3.0,5.0,5.0,92.0,7.0,7,3.0,1.0
40.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,84.0,4.0,7,4.0,1.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,88.0,3.0,7,3.0,1.0
40.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,80.0,4.0,7,3.0,1.0
40.0,5.0,3.0,1.0,2.0,3.0,4.0,5.0,5.0,76.0,6.0,7,5.0,1.0
40.0,5.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,84.0,6.0,7,5.0,1.0
50.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,84.0,4.0,7,5.0,6.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,92.0,8.0,7,7.0,4.0
40.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,72.0,4.0,7,5.0,5.0
40.0,1.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,88.0,7.0,7,5.0,2.0
40.0,2.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,92.0,4.0,7,5.0,1.0
40.0,3.0,4.0,1.0,2.0,5.0,4.0,5.0,4.0,76.0,4.0,7,6.0,3.0
40.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,80.0,3.0,7,6.0,2.0
40.0,1.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,100.0,2.0,7,5.0,1.0
40.0,5.0,5.0,2.0,1.0,2.0,5.0,1.0,2.0,24.0,4.0,7,5.0,1.0
40.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,56.0,3.0,7,3.0,1.0
35.0,2.0,4.0,1.0,2.0,5.0,5.0,4.0,4.0,84.0,4.0,7,5.0,2.0
40.0,1.0,1.0,2.0,2.0,5.0,4.0,5.0,5.0,84.0,4.0,7,5.0,1.0
